MAG,UID,SID,Family,New_family_ID,Reads,Relative_abund
MG_255659_Lactobacillus_crispatus,MG_255659,D8077,8077,1,3701328,0.8091
MG_255660_Lactobacillus_crispatus,MG_255660,M8077,8077,1,2908088,0.7557
MG_255657_Lactobacillus_gasseri_0,MG_255657,D8103,8103,2,284679,0.1522
MG_255657_Lactobacillus_jensenii_0,MG_255657,D8103,8103,2,122021,0.0652
MG_255658_Gardnerella_0,MG_255658,M8103,8103,2,1572709,0.5008
MG_255658_Gardnerella_1,MG_255658,M8103,8103,2,294407,0.0938
MG_255562_Gardnerella_0,MG_255562,D12001,12001,3,83087,0.0507
MG_255562_Lactobacillus_crispatus,MG_255562,D12001,12001,3,729454,0.4454
MG_255562_Lactobacillus_gasseri_0,MG_255562,D12001,12001,3,152209,0.0929
MG_255563_Lactobacillus_crispatus,MG_255563,M12001,12001,3,1841483,0.7213
MG_255563_Lactobacillus_jensenii_0,MG_255563,M12001,12001,3,113188,0.0443
MG_255616_BVAB1_0,MG_255616,D8073,8073,4,328793,0.0482
MG_255616_Gardnerella_0,MG_255616,D8073,8073,4,1347736,0.1975
MG_255616_Gardnerella_1,MG_255616,D8073,8073,4,551540,0.0808
MG_255616_Gardnerella_2,MG_255616,D8073,8073,4,390353,0.0572
MG_255616_Gardnerella_3,MG_255616,D8073,8073,4,323901,0.0475
MG_255616_Prevotella_bivia_0,MG_255616,D8073,8073,4,477404,0.0700
MG_255616_Prevotella_sp_0,MG_255616,D8073,8073,4,266021,0.0390
MG_255616_Prevotella_timonensis_0,MG_255616,D8073,8073,4,587524,0.0861
MG_255616_Sneathia_amnii_0,MG_255616,D8073,8073,4,181725,0.0266
MG_255616_Sneathia_sanguinegens_0,MG_255616,D8073,8073,4,158466,0.0232
MG_255614_Lactobacillus_crispatus,MG_255614,M8073,8073,4,1066022,0.6296
MG_255614_Lactobacillus_jensenii_0,MG_255614,M8073,8073,4,156015,0.0921
MG_255694_Clostridiales_Family_0,MG_255694,D8092,8092,5,117422,0.0215
MG_255694_Corynebacterium_amycolatum_0,MG_255694,D8092,8092,5,126501,0.0232
MG_255694_Lactobacillus_crispatus,MG_255694,D8092,8092,5,1742156,0.3188
MG_255694_Lactobacillus_iners,MG_255694,D8092,8092,5,40753,0.0075
MG_255694_Peptoniphilus_harei_0,MG_255694,D8092,8092,5,67777,0.0124
MG_255694_Prevotella_timonensis_0,MG_255694,D8092,8092,5,118929,0.0218
MG_255693_Clostridiales_Family_0,MG_255693,M8092,8092,5,140208,0.0239
MG_255693_Finegoldia_magna_0,MG_255693,M8092,8092,5,68789,0.0118
MG_255693_Lactobacillus_crispatus,MG_255693,M8092,8092,5,2298599,0.3926
MG_255693_Peptoniphilus_harei_0,MG_255693,M8092,8092,5,74985,0.0128
MG_255693_Peptoniphilus_lacrimalis_0,MG_255693,M8092,8092,5,51566,0.0088
MG_255693_Prevotella_timonensis_0,MG_255693,M8092,8092,5,165444,0.0283
MG_255681_Lactobacillus_crispatus,MG_255681,D8010,8010,6,2611031,0.8039
MG_255680_Anaerococcus_tetradius_0,MG_255680,M8010,8010,6,542345,0.0931
MG_255680_Atopobium_vaginae,MG_255680,M8010,8010,6,221075,0.0379
MG_255680_Bifidobacterium_breve_0,MG_255680,M8010,8010,6,374670,0.0643
MG_255680_Gardnerella_0,MG_255680,M8010,8010,6,1143512,0.1963
MG_255680_Gardnerella_1,MG_255680,M8010,8010,6,835531,0.1434
MG_255680_Lactobacillus_iners,MG_255680,M8010,8010,6,120503,0.0207
MG_255680_Mycoplasma_hominis_0,MG_255680,M8010,8010,6,42231,0.0072
MG_255611_Lactobacillus_crispatus,MG_255611,D8069,8069,7,7447772,0.8677
MG_255611_Lactobacillus_iners,MG_255611,D8069,8069,7,50455,0.0059
MG_255612_Atopobium_vaginae,MG_255612,M8069,8069,7,147594,0.0160
MG_255612_BVAB1_0,MG_255612,M8069,8069,7,253265,0.0275
MG_255612_Gardnerella_0,MG_255612,M8069,8069,7,3597275,0.3905
MG_255612_Gardnerella_1,MG_255612,M8069,8069,7,1898316,0.2061
MG_255612_Gardnerella_2,MG_255612,M8069,8069,7,916511,0.0995
MG_255612_Gardnerella_3,MG_255612,M8069,8069,7,808269,0.0877
MG_255612_Lactobacillus_iners,MG_255612,M8069,8069,7,141613,0.0154
MG_255612_Sneathia_sanguinegens_0,MG_255612,M8069,8069,7,36115,0.0039
MG_255692_Lactobacillus_iners,MG_255692,D2006,2006,8,864680,0.8142
MG_255691_Lactobacillus_iners,MG_255691,M2006,2006,8,592697,0.6517
MG_255569_Lactobacillus_iners,MG_255569,D8008,8008,9,1043702,0.7601
MG_255570_Lactobacillus_iners,MG_255570,M8008,8008,9,290163,0.4480
MG_255570_Lactobacillus_jensenii_0,MG_255570,M8008,8008,9,47594,0.0735
MG_255581_Lactobacillus_iners,MG_255581,D2002,2002,10,151122,0.2826
MG_255585_Lactobacillus_crispatus,MG_255585,M2002,2002,10,622238,0.4591
MG_255585_Lactobacillus_iners,MG_255585,M2002,2002,10,399968,0.2951
MG_255635_BVAB1_0,MG_255635,D8072,8072,17,162633,0.0229
MG_255635_Finegoldia_magna_0,MG_255635,D8072,8072,17,117263,0.0165
MG_255635_Gardnerella_0,MG_255635,D8072,8072,17,1155113,0.1625
MG_255635_Gardnerella_1,MG_255635,D8072,8072,17,381072,0.0536
MG_255635_Lactobacillus_crispatus,MG_255635,D8072,8072,17,88628,0.0125
MG_255635_Lactobacillus_jensenii_0,MG_255635,D8072,8072,17,2162668,0.3043
MG_255635_Megasphaera_genomosp_0,MG_255635,D8072,8072,17,84418,0.0119
MG_255635_Sneathia_amnii_0,MG_255635,D8072,8072,17,228388,0.0321
MG_255635_Sneathia_sanguinegens_0,MG_255635,D8072,8072,17,41523,0.0058
MG_255634_Lactobacillus_iners,MG_255634,M8072,8072,17,375457,0.3380
MG_255634_Lactobacillus_jensenii_0,MG_255634,M8072,8072,17,62458,0.0562
MG_255673_Lactobacillus_iners,MG_255673,D8003,8003,19,2243461,0.4176
MG_255672_Atopobium_vaginae,MG_255672,M8003,8003,19,567770,0.0711
MG_255672_BVAB1_0,MG_255672,M8003,8003,19,259698,0.0325
MG_255672_Gardnerella_1,MG_255672,M8003,8003,19,315698,0.0395
MG_255672_Peptoniphilus_harei_0,MG_255672,M8003,8003,19,67369,0.0084
MG_255672_Prevotella_amnii_0,MG_255672,M8003,8003,19,2251120,0.2817
MG_255672_Sneathia_amnii_0,MG_255672,M8003,8003,19,267832,0.0335
MG_255590_BVAB1_0,MG_255590,D8049,8049,21,239750,0.0921
MG_255590_Gardnerella_0,MG_255590,D8049,8049,21,545435,0.2094
