DB,Reads
M8092,D8092
M8092,D8092
M8092,D8092
D8102,D8092
D8102,M8092
D8102,M8092
D8102,D8092
M8102,D8102
D8077,M8077
M8103,M8102
M8103,M8102
M8072,D8003
D8073,M8084
M8073,M8072
D8062,D8072
D8062,D8072
D8049,M8021
D8049,M8021
D8049,M8021
D8049,M8021
D8049,M8073
M8049,D8049
M8049,M8077
M8049,M8021
M8049,D8077
D8021,M8021
D8021,D8049
D8021,D8049
D8021,M8021
D8021,M8021
M8008,M8073
M8008,M8072
M8008,D8072
D8008,M8049
M2800,D8049
M2800,M8073
D_1_1005,M2002
M12001,M8008
M12001,M8072
M12001,M8073
M12001,M8073
M12001,D8049
M12001,M2800
M12001,D_1_1005
D12001,M12001
D12001,D8103
D12001,M8073
D12001,M2800
D12001,D8049
